"id2","nutrient","nutrient_lab","country","reef_type","reef_zone","management_rules","biomass_kgha","hard_coral","macroalgae","turf_algae","bare_substrate","rubble","depth","grav_nc","sediment","nutrient_load","pop_count","herbivore","invertivore_mobile","omnivore","piscivore","planktivore"
"CZFR1_Belize","calcium.mg","Calcium","Belize","atoll","fore reef","no-take",0.0645950138020182,-0.470300684749074,2.2898689547202,-0.202160234007813,-0.587250066636447,-0.762737640573159,1.64712850311512,0.364849758533,-1.41115186270554,-0.508252514120724,-1.35483974667661,0.742055625413085,0.0837039483230224,0,0.131219797685546,0.0430206285783473
"CZFR2_Belize","calcium.mg","Calcium","Belize","atoll","fore reef","no-take",0.989222491617897,-0.610636440236217,1.38302701330331,1.14680149011042,-0.596727134213913,-0.857382677281553,2.05762364435557,0.364849758533,-1.41115186270554,-0.508252514120724,-1.35483974667661,0.629474253119123,0.0883579648447889,0,0.233668219955631,0.048499562080457
"CZFR3_Belize","calcium.mg","Calcium","Belize","atoll","fore reef","no-take",-0.389721356312566,-0.294440606220206,1.88453529541156,-0.00638258240759193,-0.596727134213913,-0.864288109144397,2.82150155935955,0.364849758533,-1.41115186270554,-0.508252514120724,-1.35483974667661,0.782747713393231,0.120270291402462,0,0.0658708746608611,0.031111120543446
"CZFR4_Belize","calcium.mg","Calcium","Belize","atoll","fore reef","no-take",0.00560331815681183,-0.186399689861904,1.12324498620095,1.08333242600062,-0.596727134213913,-0.674998035727609,2.27893406832869,0.309053381305846,-1.41115186270554,-0.508252514120724,-1.73481754326196,0.515283328708493,0.162302633678445,0,0.314646915895469,0.00776712171759253
"CZFR5_Belize","calcium.mg","Calcium","Belize","atoll","fore reef","no-take",1.1207733580614,-0.0037870540606426,1.32394656174954,-0.115093697344373,-0.454385295697466,0.0791834441947897,0.745229033375223,0.339556923610143,-1.41115186270554,-0.508252514120724,-1.73481754326196,0.74730084457944,0.0931571050379945,0,0.148797148609867,0.0107449017726983
"CZFR6_Belize","calcium.mg","Calcium","Belize","atoll","fore reef","no-take",0.655626116664148,-0.157040745199322,0.0421095712813431,2.30389135118903,-0.42948476519981,-0.742427546858911,0.922515340751535,0.339556923610143,-1.41115186270554,-0.508252514120724,-1.73481754326196,0.789599510862179,0.068699269792915,0,0.081939123586388,0.0597620957585182
"CZPR1_Belize","calcium.mg","Calcium","Belize","patch","back reef","no-take",-0.217176993138743,-1.14966666424123,1.85284557295652,-0.114279991394247,-0.59115238858011,-0.856164071658698,-1.91882494122587,0.397472738755731,-1.41115186270554,-0.507986991117047,-1.35483976773912,0.786291578999184,0.0764167634870815,0,0.137291657513735,0
"CZPR2_Belize","calcium.mg","Calcium","Belize","patch","back reef","no-take",0.131500944815073,0.351456176356602,-0.498089651033636,0.481840987667772,-0.596727134213913,-0.864288109144397,-1.85457352781432,0.397472738755731,-1.41115186270554,-0.507986991117047,-1.35483976773912,0.740834126167569,0.0428264658282461,0,0.216339408004185,0
"CZPR4_Belize","calcium.mg","Calcium","Belize","patch","back reef","no-take",-0.926986030938571,-1.12588591906453,2.96567071033117,-1.01602892532344,-0.596727134213913,-0.864288109144397,-1.96165921683357,0.397473023393996,-1.41115186270554,-0.507986991117047,-1.3548397256141,0.679056525722404,0.0811113899372235,0,0.239832084340372,0
"CZPR5_Belize","calcium.mg","Calcium","Belize","patch","back reef","no-take",-0.182642000006712,-1.26798321123143,0.539933001941327,1.03499829256316,-0.596727134213913,-0.823667921715902,-1.83672591297778,0.397473023393996,-1.41115186270554,-0.507986991117047,-1.3548397045516,0.921031042580228,0.0264810963791785,0,0.0524878610405939,0
