"","project","tags","country","site","latitude","longitude","reef_type","reef_zone","reef_exposure","reef_slope","management","management_secondary","management_est_year","management_size","management_parties","management_compliance","management_rules","sample_date","transect_number","depth","fish_family","fish_genus","fish_taxon","size","biomass_kgha","trophic_group","functional_group"
"1","Madagascar WCS MACMON 2015-6","WCS Madagascar","Madagascar","Ambarinidada_11",-12.915278,48.606917,"fringing","fore reef","semi-exposed",NA,"Ankarea restricted","WCS Madagascar",2013,NA,"community/local government; government; NGO; private sector","low","gear restriction",2016-04-16,11,3,"Acanthuridae","Ctenochaetus","Ctenochaetus striatus",15,1.24,"omnivore","detritivore"
"2","Madagascar WCS MACMON 2015-6","WCS Madagascar","Madagascar","Ambarinidada_11",-12.915278,48.606917,"fringing","fore reef","semi-exposed",NA,"Ankarea restricted","WCS Madagascar",2013,NA,"community/local government; government; NGO; private sector","low","gear restriction",2016-04-16,11,3,"Acanthuridae","Ctenochaetus","Ctenochaetus striatus",20,5.98,"omnivore","detritivore"
"3","Madagascar WCS MACMON 2015-6","WCS Madagascar","Madagascar","Ambarinidada_11",-12.915278,48.606917,"fringing","fore reef","semi-exposed",NA,"Ankarea restricted","WCS Madagascar",2013,NA,"community/local government; government; NGO; private sector","low","gear restriction",2016-04-16,11,3,"Blenniidae","Meiacanthus","Meiacanthus mossambicus",7,0.04,"planktivore","planktivore"
"4","Madagascar WCS MACMON 2015-6","WCS Madagascar","Madagascar","Ambarinidada_11",-12.915278,48.606917,"fringing","fore reef","semi-exposed",NA,"Ankarea restricted","WCS Madagascar",2013,NA,"community/local government; government; NGO; private sector","low","gear restriction",2016-04-16,11,3,"Blenniidae","Meiacanthus","Meiacanthus mossambicus",8,0.12,"planktivore","planktivore"
"5","Madagascar WCS MACMON 2015-6","WCS Madagascar","Madagascar","Ambarinidada_11",-12.915278,48.606917,"fringing","fore reef","semi-exposed",NA,"Ankarea restricted","WCS Madagascar",2013,NA,"community/local government; government; NGO; private sector","low","gear restriction",2016-04-16,11,3,"Blenniidae","Meiacanthus","Meiacanthus mossambicus",10,0.12,"planktivore","planktivore"
"6","Madagascar WCS MACMON 2015-6","WCS Madagascar","Madagascar","Ambarinidada_11",-12.915278,48.606917,"fringing","fore reef","semi-exposed",NA,"Ankarea restricted","WCS Madagascar",2013,NA,"community/local government; government; NGO; private sector","low","gear restriction",2016-04-16,11,3,"Caesioinidae","Caesio","Caesio varilineata",15,1.08,"planktivore","planktivore"
"7","Madagascar WCS MACMON 2015-6","WCS Madagascar","Madagascar","Ambarinidada_11",-12.915278,48.606917,"fringing","fore reef","semi-exposed",NA,"Ankarea restricted","WCS Madagascar",2013,NA,"community/local government; government; NGO; private sector","low","gear restriction",2016-04-16,11,3,"Chaetodontidae","Chaetodon","Chaetodon auriga",14,1.46,"omnivore","micro-invertivore"
"8","Madagascar WCS MACMON 2015-6","WCS Madagascar","Madagascar","Ambarinidada_11",-12.915278,48.606917,"fringing","fore reef","semi-exposed",NA,"Ankarea restricted","WCS Madagascar",2013,NA,"community/local government; government; NGO; private sector","low","gear restriction",2016-04-16,11,3,"Chaetodontidae","Chaetodon","Chaetodon falcula",12,0.81,"invertivore-mobile","micro-invertivore"
"9","Madagascar WCS MACMON 2015-6","WCS Madagascar","Madagascar","Ambarinidada_11",-12.915278,48.606917,"fringing","fore reef","semi-exposed",NA,"Ankarea restricted","WCS Madagascar",2013,NA,"community/local government; government; NGO; private sector","low","gear restriction",2016-04-16,11,3,"Chaetodontidae","Chaetodon","Chaetodon lunula",14,2.58,"invertivore-mobile","micro-invertivore"
"10","Madagascar WCS MACMON 2015-6","WCS Madagascar","Madagascar","Ambarinidada_11",-12.915278,48.606917,"fringing","fore reef","semi-exposed",NA,"Ankarea restricted","WCS Madagascar",2013,NA,"community/local government; government; NGO; private sector","low","gear restriction",2016-04-16,11,3,"Chaetodontidae","Chaetodon","Chaetodon trifasciatus",10,1.4,"invertivore-sessile","corallivore"
